date,AAPL,MSFT,GOOGL,TSLA,META,AMZN,NVDA,AVGO,V,XOM
2022-01-03,182.00999450683594,334.75,144.9915008544922,399.9266662597656,338.5400085449219,170.4044952392578,301.2099914550781,663.3200073242188,221.07032775878906,62.84332275390625
2022-01-04,179.6999969482422,329.010009765625,144.39950561523438,383.1966552734375,336.5299987792969,167.52200317382812,292.8999938964844,670.9199829101562,222.09866333007812,65.20711517333984
2022-01-05,174.9199981689453,316.3800048828125,137.77499389648438,362.7066650390625,324.1700134277344,164.35699462890625,276.0400085449219,643.0,219.6426544189453,66.01812744140625
2022-01-06,172.0,313.8800048828125,137.74749755859375,354.8999938964844,332.4599914550781,163.25399780273438,281.7799987792969,637.030029296875,219.39306640625,67.57091522216797
2022-01-07,172.1699981689453,314.0400085449219,137.01699829101562,342.32000732421875,331.7900085449219,162.5540008544922,272.4700012207031,619.1500244140625,216.60760498046875,68.12477111816406
2022-01-10,172.19000244140625,314.2699890136719,138.66949462890625,352.7066650390625,328.07000732421875,161.48599243164062,274.0,621.1599731445312,211.62570190429688,67.71926879882812
2022-01-11,175.0800018310547,314.9800109863281,139.73599243164062,354.79998779296875,334.3699951171875,165.36199951171875,278.1700134277344,622.0499877929688,214.0317840576172,70.56768798828125
2022-01-12,175.52999877929688,318.2699890136719,141.4304962158203,368.739990234375,333.260009765625,165.20700073242188,279.989990234375,622.0,215.35963439941406,70.35999298095703
2022-01-13,172.19000244140625,304.79998779296875,138.58700561523438,343.85333251953125,326.4800109863281,161.21400451660156,265.75,597.1900024414062,214.65077209472656,69.85558319091797
2022-01-14,173.07000732421875,310.20001220703125,139.48049926757812,349.8699951171875,331.8999938964844,162.13800048828125,269.4200134277344,596.3699951171875,214.32131958007812,71.08199310302734
2022-01-18,169.8000030517578,302.6499938964844,135.9980010986328,343.5033264160156,318.1499938964844,158.91749572753906,259.0299987792969,577.7899780273438,215.35963439941406,72.27872467041016
2022-01-19,166.22999572753906,303.3299865722656,135.1165008544922,331.8833312988281,319.5899963378906,156.2989959716797,250.6699981689453,563.969970703125,214.33128356933594,72.30839538574219
2022-01-20,164.50999450683594,301.6000061035156,133.3074951171875,332.0899963378906,316.55999755859375,151.66749572753906,241.5,547.719970703125,214.00184631347656,72.46663665771484
2022-01-21,162.41000366210938,296.0299987792969,130.35150146484375,314.6333312988281,303.1700134277344,142.64300537109375,233.74000549316406,533.22998046875,205.5955047607422,71.37870025634766
2022-01-24,161.6199951171875,296.3699951171875,130.8040008544922,310.0,308.7099914550781,144.54400634765625,233.72000122070312,541.5800170898438,201.5221405029297,71.99190521240234
2022-01-25,159.77999877929688,288.489990234375,126.93499755859375,306.1333312988281,300.1499938964844,139.98599243164062,223.24000549316406,534.1400146484375,201.67189025878906,74.10843658447266
2022-01-26,159.69000244140625,296.7099914550781,129.23300170898438,312.4700012207031,294.6300048828125,138.87249755859375,227.72000122070312,557.1199951171875,205.5355987548828,73.35676574707031
2022-01-27,159.22000122070312,299.8399963378906,129.0050048828125,276.3666687011719,294.6400146484375,139.6374969482422,219.44000244140625,542.3099975585938,205.8151397705078,74.29635620117188
2022-01-28,170.3300018310547,308.260009765625,133.3509979248047,282.1166687011719,301.7099914550781,143.97799682617188,228.39999389648438,560.0999755859375,227.62966918945312,74.45459747314453
2022-01-31,174.77999877929688,310.9800109863281,135.30349731445312,312.239990234375,313.260009765625,149.57350158691406,244.86000061035156,585.8800048828125,225.80262756347656,75.12714385986328
2022-02-01,174.61000061035156,308.760009765625,137.6439971923828,310.4166564941406,319.0,151.19349670410156,246.3800048828125,592.719970703125,231.98257446289062,79.9437484741211
2022-02-02,175.83999633789062,313.4599914550781,148.0,301.88665771484375,323.0,150.6125030517578,252.4199981689453,603.4299926757812,235.03761291503906,79.73605346679688
2022-02-03,172.89999389648438,301.25,143.08999633789062,297.0466613769531,237.75999450683594,138.8455047607422,239.47999572753906,580.8499755859375,231.16390991210938,78.80635833740234
2022-02-04,172.38999938964844,305.94000244140625,143.29299926757812,307.7733459472656,237.08999633789062,157.63949584960938,243.19000244140625,590.1599731445312,228.01902770996094,80.51739501953125
2022-02-07,171.66000366210938,300.95001220703125,139.2010040283203,302.4466552734375,224.91000366210938,157.9355010986328,247.27999877929688,587.6300048828125,226.79103088378906,81.48664093017578
2022-02-08,174.8300018310547,304.55999755859375,139.3990020751953,307.3333435058594,220.17999267578125,161.4134979248047,251.0800018310547,600.219970703125,227.56976318359375,79.37999725341797
2022-02-09,176.27999877929688,311.2099914550781,141.5919952392578,310.6666564941406,232.0,161.1894989013672,267.04998779296875,611.3400268554688,230.4949951171875,79.0
2022-02-10,172.1199951171875,302.3800048828125,138.6199951171875,301.51666259765625,228.07000732421875,159.0034942626953,258.239990234375,591.3599853515625,225.58999633789062,78.23999786376953
2022-02-11,168.63999938964844,295.0400085449219,134.28250122070312,286.6666564941406,219.5500030517578,153.2935028076172,239.49000549316406,573.4199829101562,224.69000244140625,80.20999908447266
2022-02-14,168.8800048828125,295.0,135.5260009765625,291.9200134277344,217.6999969482422,155.16700744628906,242.6699981689453,578.5800170898438,225.33999633789062,78.9800033569336
2022-02-15,172.7899932861328,300.4700012207031,136.60850524902344,307.4766540527344,221.0,156.510498046875,264.95001220703125,602.77001953125,227.82000732421875,77.98999786376953
2022-02-16,172.5500030517578,299.5,137.73800659179688,307.7966613769531,216.5399932861328,158.10049438476562,265.1099853515625,597.2100219726562,228.82000732421875,78.3499984741211
